,Text,Thumbwheel,XT Page,Keyword
1832,"2CVQ3 DIGI, 2CVQ3 DIGI - CC & I/L, QUADRUPOLE MAGNET 2CVQ3 DIGI I/L VALUE, QUADRUPOLE MAGNET 2CVQ3 DIGI ON VALUE",B2 13 DIGI,"2C12, 2CQ",Beamline 2C
1833,QUADRUPOLE MAGNET 2C1VQ4 MUX VALUE,B2 14 MUX,2C12,Beamline 2C
1834,"2C1VQ4 DAC, QUADRUPOLE MAGNET 2C1VQ4 DAC VALUE",B2 14 DAC,"2C12, 2CQ",Beamline 2C
1835,"2C1VQ4 DIGI, 2C1VQ4 DIGI - CC & I/L, QUADRUPOLE MAGNET 2C1VQ4 DIGI I/L VALUE, QUADRUPOLE MAGNET 2C1VQ4 DIGI ON VALUE",B2 14 DIGI,"2C12, 2CQ",Beamline 2C
1836,QUADRUPOLE MAGNET 2C1VQ5 MUX VALUE,B2 15 MUX,2C12,Beamline 2C
1837,"2C1VQ5 DAC, QUADRUPOLE MAGNET 2C1VQ5 DAC VALUE",B2 15 DAC,"2C12, 2CQ",Beamline 2C
1838,"2C1VQ5 DIGI, 2C1VQ5 DIGI - CC & I/L, QUADRUPOLE MAGNET 2C1VQ5 DIGI I/L VALUE, QUADRUPOLE MAGNET 2C1VQ5 DIGI ON VALUE",B2 15 DIGI,"2C12, 2CQ",Beamline 2C
1839,STEERING MAGNET 2CVSM1 MUX VALUE,B2 51 MUX,2C12,Beamline 2C
1840,"2CVSM1 DAC, STEERING MAGNET 2CVSM1 DAC VALUE",B2 51 DAC,"2C12, 2CQ",Beamline 2C
1841,"2CVSM1 DIGI, 2CVSM1 DIGI - CC & I/L, 2CVSM1 DIGI POLARITY, STEERING MAGNET 2CVSM1 DIGI ON VALUE, STEERING MAGNET 2CVSM1 DIGI POLARITY VALUE",B2 51 DIGI,"2C12, 2CQ",Beamline 2C
1842,STEERING MAGNET 2C1VSM2 MUX VALUE,B2 52 MUX,2C12,Beamline 2C
1843,"2C1VSM2 DAC, STEERING MAGNET 2C1VSM2 DAC VALUE",B2 52 DAC,"2C12, 2CQ",Beamline 2C
1844,"2C1VSM2 DIGI, 2C1VSM2 DIGI - CC & I/L, 2C1VSM2 DIGI POLARITY, STEERING MAGNET 2C1VSM2 DIGI ON VALUE, STEERING MAGNET 2C1VSM2 DIGI POLARITY VALUE",B2 52 DIGI,"2C12, 2CQ",Beamline 2C
1845,STEERING MAGNET 2C1VSM3 MUX VALUE,B2 53 MUX,2C12,Beamline 2C
1846,"2C1VSM3 DAC, 2C4VSM3 DAC, STEERING MAGNET 2C1VSM3 DAC VALUE",B2 53 DAC,"2C12, 2CQ",Beamline 2C
1847,"2C1VSM3 - DIGI CC & I/L, 2C1VSM3 DIGI, 2C1VSM3 DIGI POLARITY, 2C4VSM3 DIGI, 2C4VSM3 DIGI - CC & I/L, 2C4VSM3 DIGI POLARITY, STEERING MAGNET 2C1VSM3 DIGI ON VALUE, STEERING MAGNET 2C1VSM3 DIGI POLARITY VALUE",B2 53 DIGI,"2C12, 2CQ",Beamline 2C
1848,"2CVVR1 (RAD HARD VALVE), MANUAL CLOSE: RHV CLOSED, MANUAL OPEN: RHV CLOSED, RAD HARD VACUUM VALVE 2CVRHV, RHV I/L BYPASS SUMMARY STATUS, RHV STATUS",B2 95 DIGI,"2C12, 2CR10, 2CRHV, 2CV, 2CVA4, 2CVA5, 2CVA8, TV1",Beamline 2C
1849,"FAST VALVE 2CVFVA, FV",B2 97 REG,"2C12, 2CV",Beamline 2C
1850,"MANUAL OPEN: VA5 CLOSED READBACK, VA5 I/L BYPASS SUMMARY STATUS, VA5 STATUS, VACUUM VALVE 2CVVA5",B2 81 DIGI,"2C12, 2CR10, 2CR5, 2CV, 2CVA5",Beamline 2C
1851,"MAIN AND QUADRANT BIAS VOLTAGE, QUAD CHAMBER TOTAL COUNT ERROR, QUADRATURE IMBALANCE, SEM BURST RATE",PT 100 MUX,"2C14, 2C16",Proton Therapy
1852,BACKUP DOSE SETTING READBACK,PT 33 MUX,2C16,Proton Therapy
1853,FAST SHUTTER OPEN TIME IN MSEC,PT 27 MUX,2C16,Proton Therapy
1854,FAST SHUTTER CLOSE TIME IN MSEC,PT 30 MUX,2C16,Proton Therapy
1855,FAST SHUTTER IN COUNT,PT 8 MUX,2C16,Proton Therapy
1856,"(STF READY FOR) BEAM ENABLED/DISABLED, STF BEAM ENABLED/DISABLED, TARGET MOVE DOWN I/L - STF READY FOR BEAM",B2 22 REG,"2C4, 2C45, 2CV",Beamline 2C
1857,SCAN_STF ACTIVE/INACTIVE STATUS,ET 500 MUX,2C4,Extra Thumbwheels
1858,2C4 EOB MESSAGE SCAN STATUS (VALID WHEN SCAN_STF IS ACTIVE),ET 599 MUX,2C4,Extra Thumbwheels
1859,2C4 TOROID CURRENT,B2 18 MUX,"2C4, 2CX",Beamline 2C
1860,"E.G. BYPASS STATUS REG 3, EXTRACT BIT 12 AND BIT 13, NO BYPASS STATUS BITS, TARGET AT POSITION, TARGET IN CHAMBER STATUS, TARGET MOTOR IN MOTION, TARGET MOVE DOWN I/L - TARGET IN CHAMBER STATUS",B2 27 REG,"2C4, 2C41, 2C45, 2C46",Beamline 2C
1861,"2C4VM2.2 CAP. PROBE CURRENT, 2C4VM2.2 CAPACITIVE PROBE CURRENT",B2 19 MUX,"2C4, 2CX",Beamline 2C
1862,"2C4 GATE VALVE, 2C4 GATE VALVE OPEN STATUS, CP PUMP I/L - WATER JACKET H2O LEVEL HIGH STATUS, SHUTTER EAST, SHUTTER WEST, TARGET IN HOTCELL LIMIT SWITCH #1 STATUS, TARGET MOVE DOWN I/L - EAST SHUTTER OPEN LIMIT STATUS, WATER JACKET ABOVE HIGH LEVEL, WATER JACKET ABOVE HIGH-HIGH LEVEL, WATER JACKET BELOW LOW LEVEL, WATER JACKET BELOW LOW-LOW LEVEL, WATER JACKET H2O LEVEL BELOW HIGH-HIGH LEVEL STATUS",B2 24 REG,"2C4, 2C41, 2C42, 2C44, 2C45, 2C46",Beamline 2C
1863,STF RESISTIVITY TRIP DEFEAT TIMER,B2 228 MUX,"2C4, 2C43",Beamline 2C
1864,STF TARGET CARRIER POSITION READBACK,B2 220 MUX,"2C4, 2C41",Beamline 2C
1865,"2C4 PROTECT MONITOR BIAS READBACK, 2C4 PROTECT MONITOR BIAS VOLTAGE",B2 203 MUX,"2C4, 2C41",Beamline 2C
1866,"2C4 PROTECT MONITOR (UP) READBACK, 2C4 PROTECT MONITOR CURRENT (UP)",B2 200 MUXT,"2C4, 2C41",Beamline 2C
1867,"2C4 DOUBLE WINDOW RETURN H2O TEMPERATURE READBACK, DOUBLE WINDOW RETURN WATER TEMPERATURE",B2 217 MUX,"2C4, 2C43",Beamline 2C
1868,"2C4 PROTECT MONITOR (LEFT) READBACK, 2C4 PROTECT MONITOR CURRENT (LEFT)",B2 200 MUXL,"2C4, 2C41",Beamline 2C
1869,"2C4 PROTECT MONITOR (RIGHT) READBACK, 2C4 PROTECT MONITOR CURRENT (RIGHT)",B2 200 MUXR,"2C4, 2C41",Beamline 2C
1870,"2C4 DOUBLE WINDOW H2O FLOW READBACK, DOUBLE WINDOW RETURN WATER FLOW",B2 218 MUX,"2C4, 2C43",Beamline 2C
1871,"2C4 PROTECT MONITOR (DOWN) READBACK, 2C4 PROTECT MONITOR CURRENT (DOWN)",B2 200 MUXB,"2C4, 2C41",Beamline 2C
1872,"2C4 BEAM STOP TEMPERATURE READBACK, 2C4 BEAMSTOP TEMPERATURE",B2 208 MUX,"2C4, 2C41",Beamline 2C
1873,"WATER JACKET H2O LEVEL READBACK, WATER JACKET WATER LEVEL",B2 234 MUX,"2C4, 2C42",Beamline 2C
1874,"2C4 DOUBLE WINDOW SUPPLY H2O TEMPERATURE READBACK, DOUBLE WINDOW SUPPLY WATER TEMPERATURE",B2 216 MUX,"2C4, 2C43",Beamline 2C
1875,"TARGET COOLING SUPPLY H2O TEMPERATURE READBACK, TARGET COOLING SUPPLY WATER TEMPERATURE",B2 230 MUX,"2C4, 2C43",Beamline 2C
1876,"TARGET COOLING H2O FLOW READBACK, TARGET COOLING WATER FLOW",B2 233 MUX,"2C4, 2C43",Beamline 2C
1877,"TARGET COOLING RETURN H2O TEMPERATURE READBACK, TARGET COOLING RETURN WATER TEMPERATURE",B2 232 MUX,"2C4, 2C43",Beamline 2C
1878,"TARGET COOLING SUPPLY H2O RESISTIVITY READBACK, TARGET COOLING SUPPLY WATER RESISTIVITY",B2 224 MUX,"2C4, 2C43",Beamline 2C
1879,"WATER SUPPLY TEMPERATURE, WATER SUPPLY TEMPERATURE READBACK",B2 231 MUX,"2C4, 2C43",Beamline 2C
1880,"HEAT EXCHANGER SUPPLY H2O TEMPERATURE READBACK, HEAT EXCHANGER SUPPLY WATER TEMPERATURE",B2 221 MUX,"2C4, 2C43",Beamline 2C
1881,"ION EXCHANGER RETURN H2O RESISTIVITY READBACK, ION EXCHANGER RETURN WATER RESISTIVITY",B2 226 MUX,"2C4, 2C43",Beamline 2C
1882,"CHILLER PUMP STATUS, COOLING PACKAGE PUMP STATUS",B2 238 DIGI,"2C4, 2C4C",Beamline 2C
1883,"HEAT EXCHANGER RETURN H2O TEMPERATURE READBACK, HEAT EXCHANGER RETURN WATER TEMPERATURE",B2 222 MUX,"2C4, 2C43",Beamline 2C
1884,"ION EXCHANGER H2O FLOW READBACK, ION EXCHANGER WATER FLOW",B2 227 MUX,"2C4, 2C43",Beamline 2C
1885,"CP PUMP I/L - RESERVOIR TANK H2O LEVEL, RESERVOIR TANK H2O LEVEL READBACK, RESERVOIR TANK WATER LEVEL",B2 237 MUX,"2C4, 2C42, 2C44",Beamline 2C
1886,"HEAT EXCHANGER H2O FLOW READBACK, HEAT EXCHANGER WATER FLOW",B2 223 MUX,"2C4, 2C43",Beamline 2C
1887,"COOLING PACKAGE PUMP PRESSURE, COOLING PACKAGE PUMP PRESSURE READBACK, STACK VALVE I/L - CP PUMP PRESSURE",B2 238 MUX,"2C4, 2C42, 2C44",Beamline 2C
1888,"BL2C STF DATA XFER (1), STF DATA TRANSFER WATCHDOG 1",B2 249 MUX,"2C4, 2C41, 2C42, 2C43, 2C44, 2C45, 2C46, 2C4C, 2C4D, 2C4H, MNW",Beamline 2C
1889,"BL2C STF DATA XFER (2), STF DATA TRANSFER WATCHDOG 2",B2 248 MUX,"2C4, 2C41, 2C42, 2C43, 2C44, 2C45, 2C46, 2C4C, 2C4D, 2C4H, MNW",Beamline 2C
1890,"BL2C STF PLC, PLC SCAN WATCHDOG, STF PLC WATCHDOG",B2 39 REG,"2C4, 2C41, 2C42, 2C43, 2C44, 2C45, 2C46, 2C4C, 2C4D, 2C4H, MNW3",Beamline 2C
1891,"2C4 DOUBLE WINDOW H2O FLOW TRIP, 2C4 PROTECT MONITOR (LEFT) TRIP, WATER LEAK SENSOR TRIP",B2 11 REG,"2C41, 2C42, 2C43",Beamline 2C
1892,"2C4 DOUBLE WINDOW H2O FLOW DEFEAT, 2C4 PROTECT MONITOR (LEFT) DEFEAT, BYPASS PANEL BIT 17, WATER LEAK SENSOR DEFEAT",B2 6 REG,"2C41, 2C42, 2C43, 2C4D",Beamline 2C
1893,"2C4 DOUBLE WINDOW H2O FLOW LAST TRIP, 2C4 PROTECT MONITOR (LEFT) LAST TRIP, WATER LEAK SENSOR LAST TRIP",B2 16 REG,"2C41, 2C42, 2C43",Beamline 2C
1894,"STACK VALVE NOT OPEN TRIP, TARGET CARRIER NOT IN POSITION OR NOT IN HOTCELL TRIP, TARGET COOLING SUPPLY H2O TEMPERATURE TRIP",B2 12 REG,"2C41, 2C42, 2C43",Beamline 2C
1895,"BYPASS PANEL BIT 33, STACK VALVE I/L - STACK VALVE OPEN SWITCH DEFEAT, STACK VALVE OPEN DEFEAT, TARGET CARRIER POSITION DEFEAT, TARGET COOLING SUPPLY H2O TEMPERATURE DEFEAT, TARGET MOVE DOWN I/L - EAST SHUTTER OPEN LIMIT DEFEAT",B2 7 REG,"2C41, 2C42, 2C43, 2C44, 2C45, 2C4D",Beamline 2C
1896,"STACK VALVE NOT OPEN LAST TRIP, TARGET CARRIER NOT IN POSITION OR NOT IN HOTCELL LAST TRIP, TARGET COOLING SUPPLY H2O TEMPERATURE LAST TRIP",B2 17 REG,"2C41, 2C42, 2C43",Beamline 2C
1897,STF READY FOR BEAM TRIP COUNT,B2 250 MUX,"2C41, 2C42, 2C43, 2C4D",Beamline 2C
1898,"WATER JACKET H2O LEVEL TRIP, WATER SUPPLY TEMPERATURE TRIP",B2 10 REG,"2C42, 2C43",Beamline 2C
1899,"BYPASS PANEL BIT 1, CP PUMP I/L - CP PUMP CONTACTOR DEFEAT, WATER JACKET H2O LEVEL DEFEAT, WATER SUPPLY TEMPERATURE DEFEAT",B2 5 REG,"2C42, 2C43, 2C44, 2C4D",Beamline 2C
1900,"WATER JACKET H2O LEVEL LAST TRIP, WATER SUPPLY TEMPERATURE LAST TRIP",B2 15 REG,"2C42, 2C43",Beamline 2C
1901,"COOLING PACKAGE PUMP ON STATUS, CP PUMP I/L - CP PUMP CONTACTOR STATUS, DEPRESSION STATUS, OPEN SHUTTER BUTTON STATUS, TARGET MOVE DOWN I/L - TARGET DOWN BUTTON STATUS",B2 25 REG,"2C42, 2C44, 2C45, 2C46, 2C4H",Beamline 2C
1902,"CP PUMP I/L - CP PUMP DRIVE STATUS, TARGET MOVE DOWN I/L - DRIVE STATUS",B2 20 REG,"2C44, 2C45",Beamline 2C
1903,CP PUMP I/L - RESERVOIR TANK H2O LEVEL TRIP STATUS,B2 13 REG,2C44,Beamline 2C
1904,CP PUMP I/L - RESERVOIR TANK H2O LEVEL LAST TRIP STATUS,B2 18 REG,2C44,Beamline 2C
1905,"COOLING PACKAGE PUMP TRIP COUNT, CP PUMP I/L - TRIP COUNT",B2 252 MUX,"2C44, 2C4D",Beamline 2C
1906,STACK VALVE I/L - CP PUMP CONTACTOR TRIP STATUS,B2 14 REG,2C44,Beamline 2C
1907,STACK VALVE I/L - CP PUMP CONTACTOR LAST TRIP STATUS,B2 19 REG,2C44,Beamline 2C
1908,"STACK VALVE I/L - TRIP COUNT, STACK VALVE TRIP COUNT",B2 251 MUX,"2C44, 2C4D",Beamline 2C
1909,TARGET MOVE DOWN I/L - TARGET UP BUTTON TRIP STATUS,B2 30 REG,2C45,Beamline 2C
1910,TARGET MOVE DOWN I/L - TARGET UP BUTTON LAST TRIP STATUS,B2 32 REG,2C45,Beamline 2C
1911,"MOVE TARGET DOWN TRIP COUNT, TARGET MOVE DOWN I/L - TRIP COUNT",B2 254 MUX,"2C45, 2C4D",Beamline 2C
1912,TARGET MOVE UP I/L - TARGET DOWN BUTTON TRIP STATUS,B2 31 REG,2C45,Beamline 2C
1913,TARGET MOVE UP I/L - TARGET DOWN BUTTON LAST TRIP STATUS,B2 33 REG,2C45,Beamline 2C
1914,"MOVE TARGET UP TRIP COUNT, TARGET MOVE UP I/L - TRIP COUNT",B2 253 MUX,"2C45, 2C4D",Beamline 2C
1915,OPEN SHUTTER DRIVE STATUS,B2 21 REG,2C46,Beamline 2C
1916,"CHILLER PUMP PRESSURE, CHILLER RESERVOIR H2O LEVEL, COLLIMATOR A OUTLET H2O TEMPERATURE (T6), HEAT EXCHANGER FLOW, HEAT EXCHANGER FLOW STATUS, HEAT EXCHANGER RETURN TEMP, HEAT EXCHANGER SUPPLY TEMP, ION EXCHANGER FLOW, ION EXCHANGER FLOW STATUS, ION EXCHANGER RETURN RESISTIVITY, ION EXCHANGER SUPPLY RESISTIVITY",TG 271 MUX,"2C4C, 61, 6I",Targets
1917,PLC P/S #1 STATUS,B2 29 REG,2C4D,Beamline 2C
1918,BYPASS PANEL BIT 49,B2 8 REG,2C4D,Beamline 2C
1919,FAN SPEED,B2 240 MUX,2C4H,Beamline 2C
1920,FILTER DIFFERENTIAL PRESSURE,B2 241 MUX,2C4H,Beamline 2C
1921,DEPRESSION,B2 242 MUX,2C4H,Beamline 2C
1922,2C7 FC COOLING WATER FLOW RATE,B2 290 MUX,2C7,Beamline 2C
1923,2C7 FC COOLING WATER FLOW STATUS,B2 290 REG,2C7,Beamline 2C
1924,"CURRENT DATE, CURRENT TIME, IG >5.0E-05 I/L, MANUAL OPEN:  TC10 VACUUM OK DEFEAT, MANUAL OPEN:  TC4 VACUUM OK DEFEAT, MANUAL OPEN: ION GAUGE VAC OK DEFEAT, MANUAL OPEN: TC2 VACUUM OK DEFEAT, MANUAL OPEN: TC5 VACUUM OK DEFEAT, MANUAL OPEN: TC8 VACUUM OK DEFEAT, RV8 TIMEOUT DEFEAT, THE FIELD IS USED TO READ & SAVE TCS DEF & TRIP DATA, TP AUTO OFF: 2CTC4 DEFEAT, TP MANUAL ON: 2CTC4 DEFEAT, VA5 TIMEOUT DEFEAT, VA8 TIMEOUT DEFEAT",B2 127 REG,"2CB13, 2CB14, 2CR10, 2CR11, 2CR12, 2CR5, 2CR8, 2CRHV, 2CV, 2CVA4, 2CVA5, 2CVA8, 2CVBP, 2CVP, 2CVV",Beamline 2C
1925,"BV13 I/L BYPASS SUMMARY STATUS, BV13 STATUS, MANUAL OPEN: BV13 CLOSED",B2 88 DIGI,"2CB13, 2CB14, 2CR12, 2CV",Beamline 2C
1926,"MANUAL OPEN: RV12 CLOSED READBACK, RV12 I/L BYPASS SUMMARY STATUS, RV12 STATUS, VV AUTO CLOSE: RV12 CLOSED READBACK, VV MANUAL OPEN: RV12 CLOSED READBACK",B2 87 DIGI,"2CB13, 2CR11, 2CR12, 2CV, 2CVV",Beamline 2C
1927,"AUTO CLOSE: TC3 VACUUM NOT OK  I/L STATUS, AUTO CLOSE: TC4 VACUUM OK  I/L STATUS, MANUAL OPEN: RV10 CLOSED I/L STATUS, MANUAL OPEN: RV11 CLOSED I/L STATUS, MANUAL OPEN: RV12 CLOSED I/L STATUS, MANUAL OPEN: RV5 CLOSED I/L STATUS, MANUAL OPEN: RV8 CLOSED I/L STATUS, MANUAL OPEN: TC4 VACUUM NOT OK  I/L STATUS, MANUAL OPEN: VA4 CLOSED I/L STATUS, MANUAL OPEN: VA5 CLOSED I/L STATUS, MANUAL OPEN: VA8 CLOSED I/L STATUS, TP AUTO OFF: 2CTC4 TRIP STATUS, TP MANUAL ON: 2CTC4 TRIP STATUS, VV AUTO CLOSE: RV11 CLOSED TRIP STATUS, VV AUTO CLOSE: RV12 CLOSED TRIP STATUS, VV MANUAL OPEN: RV11 CLOSED TRIP STATUS, VV MANUAL OPEN: RV12 CLOSED TRIP STATUS",B2 120 REG,"2CB13, 2CB14, 2CR10, 2CR11, 2CR12, 2CR5, 2CR8, 2CVA4, 2CVA5, 2CVA8, 2CVP, 2CVV",Beamline 2C
1928,"MANUAL OPEN: RV10 CLOSED DEFEAT, MANUAL OPEN: RV11 CLOSED DEFEAT, MANUAL OPEN: RV12 CLOSED DEFEAT, MANUAL OPEN: RV5 CLOSED DEFEAT, MANUAL OPEN: RV8 CLOSED DEFEAT, MANUAL OPEN: VA4 CLOSED DEFEAT, MANUAL OPEN: VA5 CLOSED DEFEAT, MANUAL OPEN: VA8 CLOSED DEFEAT, RV5 CLOSED I/L, VV AUTO CLOSE: RV11 CLOSED DEFEAT, VV AUTO CLOSE: RV12 CLOSED DEFEAT, VV MANUAL OPEN: RV11 CLOSED DEFEAT, VV MANUAL OPEN: RV12 CLOSED DEFEAT",B2 125 REG,"2CB13, 2CB14, 2CR10, 2CR11, 2CR12, 2CR5, 2CR8, 2CVA4, 2CVA5, 2CVA8, 2CVBP, 2CVV",Beamline 2C
1929,MANUAL OPEN: RV12 CLOSED LAST TRIP,B2 188 REG,2CB13,Beamline 2C
1930,BV13 MANUAL OPEN TRIP COUNTER,B2 188 MUX,2CB13,Beamline 2C
1931,"BV14 I/L BYPASS SUMMARY STATUS, BV14 STATUS, MANUAL OPEN: BV14 CLOSED",B2 89 DIGI,"2CB13, 2CB14, 2CR11, 2CV",Beamline 2C
1932,"IG ON I/L, MANUAL OPEN: BV13 CLOSED DEFEAT, MANUAL OPEN: BV14 CLOSED DEFEAT, MANUAL OPEN: ION GAUGE ON DEFEAT, MANUAL OPEN: TURBO ON DEFEAT",B2 126 REG,"2CB13, 2CB14, 2CR11, 2CR12, 2CRHV, 2CVA4, 2CVBP",Beamline 2C
1933,"2CTC4 READING, TC4 - THERMOCOUPLE VACUUM GAUGE 4, TP AUTO OFF: 2CTC4 READING, TP MANUAL ON: 2CTC4 READING",B2 104 MUX,"2CB13, 2CB14, 2CV, 2CVA4, 2CVP",Beamline 2C
1934,"2CTC4 SETPOINT, TC4 SETPOINT, TP AUTO OFF: 2CTC4 SETPOINT, TP MANUAL ON: 2CTC4 SETPOINT",B2 134 MUX,"2CB13, 2CB14, 2CV, 2CVA4, 2CVP",Beamline 2C
1935,"2CTC3 READING, TC3 - THERMOCOUPLE VACUUM GAUGE 3",B2 103 MUX,"2CB13, 2CR12, 2CV",Beamline 2C
1936,"2CT3 SETPOINT, 2CT31 SETPOINT, 2CTC3 SETPOINT, TC3 SETPOINT",B2 133 MUX,"2CB13, 2CR12, 2CV",Beamline 2C
1937,"BP MANUAL ON: TIMEOUT DEFEAT, BV13 TIMEOUT DEFEAT, BV14 TIMEOUT DEFEAT, RP MANUAL ON: TIMEOUT DEFEAT, RV11 TIMEOUT DEFEAT, RV12 TIMEOUT DEFEAT, TP MANUAL ON: TIMEOUT DEFEAT, VV MANUAL OPEN: TIMEOUT DEFEAT",B2 128 REG,"2CB13, 2CB14, 2CR11, 2CR12, 2CVP, 2CVV",Beamline 2C
1938,AUTO CLOSE: RV12 CLOSED LAST TRIP,B2 108 REG,2CB13,Beamline 2C
1939,BV13 TRIP COUNTER,B2 168 MUX,2CB13,Beamline 2C
1940,"2CV DATA TRANSFER WATCHDOG (1), BL2C VACUUM DATA XFER (1)",B2 199 MUXL,"2CB13, 2CB14, 2CR10, 2CR11, 2CR12, 2CR5, 2CR8, 2CRHV, 2CV, 2CVA4, 2CVA5, 2CVA8, 2CVP, 2CVV, MNW",Beamline 2C
1941,"2CV DATA TRANSFER WATCHDOG (2), BL2C VACUUM DATA XFER (2)",B2 199 MUXR,"2CB13, 2CB14, 2CR10, 2CR11, 2CR12, 2CR5, 2CR8, 2CRHV, 2CV, 2CVA4, 2CVA5, 2CVA8, 2CVP, 2CVV, MNW",Beamline 2C
1942,"2CV PLC WATCHDOG, BL2C VACUUM PLC",B2 199 REG,"2CB13, 2CB14, 2CR10, 2CR11, 2CR12, 2CR5, 2CR8, 2CRHV, 2CV, 2CVA4, 2CVA5, 2CVA8, 2CVP, 2CVV, MNW3",Beamline 2C
1943,"MANUAL OPEN: RV11 CLOSED READBACK, RV11 I/L BYPASS SUMMARY STATUS, RV11 STATUS, VV AUTO CLOSE: RV11 CLOSED READBACK, VV MANUAL OPEN: RV11 CLOSED READBACK",B2 86 DIGI,"2CB14, 2CR11, 2CR12, 2CV, 2CVV",Beamline 2C
1944,MANUAL OPEN: RV11 CLOSED LAST TRIP,B2 189 REG,2CB14,Beamline 2C
1945,BV14 MANUAL OPEN TRIP COUNTER,B2 189 MUX,2CB14,Beamline 2C
1946,"2CTC11 READING, TC11 - THERMOCOUPLE VACUUM GAUGE 11",B2 111 MUX,"2CB14, 2CR11, 2CV",Beamline 2C
1947,"2CTC11 SETPOINT, TC11 SETPOINT",B2 141 MUX,"2CB14, 2CR11, 2CV",Beamline 2C
1948,"AUTO CLOSE: TC10 VACUUM OK  I/L STATUS, AUTO CLOSE: TC11 VACUUM NOT OK  I/L STATUS, ION GAUGE AUTO OFF: 2CTC2 TRIP STATUS, ION GAUGE MANUAL ON: 2CTC2 (FOR IG) TRIP STATUS, MANUAL CLOSE: RHV CLOSED I/L STATIS, MANUAL OPEN: RHV CLOSED, MANUAL OPEN: RHV CLOSED I/L STATUS, MANUAL OPEN: TC10 VACUUM NOT OK  I/L STATUS, MANUAL OPEN: TC10 VACUUM OK I/L STATUS, MANUAL OPEN: TC11 VACUUM OK I/L STATUS, MANUAL OPEN: TC2 VACUUM NOT OK  I/L STATUS, RHV MANUAL OPEN: CYC VAC OK",B2 121 REG,"2CB14, 2CR10, 2CR11, 2CR12, 2CR5, 2CR8, 2CRHV, 2CVA4, 2CVA5, 2CVA8, 2CVP",Beamline 2C
1949,AUTO CLOSE: RV11 CLOSED LAST TRIP,B2 109 REG,2CB14,Beamline 2C
1950,BV14 TRIP COUNTER,B2 169 MUX,2CB14,Beamline 2C
1951,2C4VM3 WS STATUS,B2 122 DIGI,2CM,Beamline 2C
1952,"2CVCM1 MUX VOLTAGE, 2CVCM1 PS VOLTS READBACK",B2 1 MUXR,"2CQ, 2CQ1",Beamline 2C
1953,"2CVCM1 DESIRED CURRENT, COMBINATION MAGNET DESIRED CURRENT",B2 74 MUX,"2CQ, MN2CX",Beamline 2C
1954,2CVSM1 CURRENT,B2 51 MUXL,2CQ,Beamline 2C
1955,2CVSM1 VOLTAGE,B2 51 MUXR,2CQ,Beamline 2C
1956,2CVQ1 DAC (AMPS),B2 11 DAC        78,2CQ,Beamline 2C
1957,2CVQ1 CURRENT,B2 11 MUXL,2CQ,Beamline 2C
1958,2CVQ1 VOLTAGE,B2 11 MUXR,2CQ,Beamline 2C
1959,2CVQ2 DAC (AMPS),B2 12 DAC        78,2CQ,Beamline 2C
1960,2CVQ2 CURRENT,B2 12 MUXL,2CQ,Beamline 2C
1961,2CVQ2 VOLTAGE,B2 12 MUXR,2CQ,Beamline 2C
1962,2CVQ3 DAC (AMPS),B2 13 DAC        78,2CQ,Beamline 2C
1963,2CVQ3 CURRENT,B2 13 MUXL,2CQ,Beamline 2C
1964,2CVQ3 VOLTAGE,B2 13 MUXR,2CQ,Beamline 2C
1965,"2CVB1 MUX VOLTAGE, 2CVB1 PS VOLTS READBACK",B2 2 MUXR,"2CQ, 2CQ1",Beamline 2C
1966,2C1VSM2 CURRENT,B2 52 MUXL,2CQ,Beamline 2C
1967,2C1VSM2 VOLTAGE,B2 52 MUXR,2CQ,Beamline 2C
1968,"2C1VSM3 CURRENT, 2C4VSM3 CURRENT",B2 53 MUXL,2CQ,Beamline 2C
1969,"2C1VSM3 VOLTAGE, 2C4VSM3 VOLTAGE",B2 53 MUXR,2CQ,Beamline 2C
1970,2C1VQ4 DAC (AMPS),B2 14 DAC        78,2CQ,Beamline 2C
1971,2C1VQ4 CURRENT,B2 14 MUXL,2CQ,Beamline 2C
1972,2C1VQ4 VOLTAGE,B2 14 MUXR,2CQ,Beamline 2C
1973,2C1VQ5 DAC (AMPS),B2 15 DAC        78,2CQ,Beamline 2C
1974,2C1VQ5 CURRENT,B2 15 MUXL,2CQ,Beamline 2C
1975,2C1VQ5 VOLTAGE,B2 15 MUXR,2CQ,Beamline 2C
1976,"2C4VSM2 DIGI, 2C4VSM2 DIGI - CC & I/L, 2C4VSM2 DIGI POLARITY",B2 54 DIGI,2CQ,Beamline 2C
1977,2C4VSM2 DAC,B2 54 DAC,2CQ,Beamline 2C
1978,2C4VSM2 CURRENT,B2 54 MUXL,2CQ,Beamline 2C
1979,2C4VSM2 VOLTAGE,B2 54 MUXR,2CQ,Beamline 2C
1980,"2CVCM1 PS (BIRA) PROCESS, B2CVCM1 BIRA XFER PROCESS WATCHDOG",B2 8 MUX,"2CQ, 2CQ1, MNWPS",Beamline 2C
1981,"2CVB1 PS (BIRA) PROCESS, B2CVB1 BIRA XFER PROCESS WATCHDOG",B2 9 MUX,"2CQ, 2CQ1, MNWPS",Beamline 2C
1982,2CVCM1 PS READY STATUS,B2 51 REG,2CQ1,Beamline 2C
1983,2CVB1 PS READY STATUS,B2 53 REG,2CQ1,Beamline 2C
